date,variance,temporal_cluster
2023-06-30,0.010394539106186639,2
2023-07-01,0.009850264861279205,2
2023-07-02,0.010200503412394226,2
2023-07-03,0.010347297042357977,2
2023-07-04,0.009858707202279124,2
2023-07-05,0.01337716127027208,2
2023-07-06,0.013219807498711027,2
2023-07-07,0.012210528688812543,2
2023-07-08,0.011800105775860088,2
2023-07-09,0.010920122245247537,2
2023-07-10,0.01841785145453675,1
2023-07-11,0.017657227357396846,1
2023-07-12,0.01783904163749035,1
2023-07-13,0.03345473897612391,1
2023-07-14,0.031824159989224804,1
2023-07-15,0.03307993723673581,1
2023-07-16,0.03395941811047149,1
2023-07-17,0.033759675353826374,1
2023-07-18,0.034394916608107375,1
2023-07-19,0.03393711956174793,1
2023-07-20,0.03241281342390666,1
2023-07-21,0.03559678969060403,1
2023-07-22,0.03644505288819659,1
2023-07-23,0.036592565999775686,1
2023-07-24,0.03708230919301488,1
2023-07-25,0.03701296757004849,1
2023-07-26,0.03609073135552529,1
2023-07-27,0.03616526181285876,1
2023-07-28,0.044098268938955215,1
2023-07-29,0.045601595586348104,1
2023-07-30,0.05694651721966063,1
2023-07-31,0.059034204426194226,1
2023-08-01,0.06076429932697209,1
2023-08-02,0.06408132349124179,1
2023-08-03,0.06273150954219098,1
2023-08-04,0.07397631596337728,1
2023-08-05,0.07660111364127803,1
2023-08-06,0.07754883336264738,1
2023-08-07,0.0843147928926598,1
2023-08-08,0.0749811576382283,1
2023-08-09,0.07622155580614955,1
2023-08-10,0.07623692759501502,1
2023-08-11,0.07664642939561782,1
2023-08-12,0.0602456395914202,3
2023-08-13,0.0501971204046492,3
2023-08-14,0.05126762426668644,1
2023-08-15,0.04485092403320931,1
2023-08-16,0.03770010817463185,1
2023-08-17,0.028599662185139096,1
2023-08-18,0.02657352939852434,1
2023-08-19,0.03690691227909929,1
2023-08-20,0.03872015476244027,1
2023-08-21,0.036420713398783326,1
2023-08-22,0.034623254526846385,1
2023-08-23,0.03499324562106999,1
2023-08-24,0.035204277923447505,1
2023-08-25,0.0328356298749229,1
2023-08-26,0.032725985210603596,1
2023-08-27,0.03294052414132648,1
2023-08-28,0.034735516538794683,1
2023-08-29,0.03836511687974652,1
2023-08-30,0.0392540698535012,1
2023-08-31,0.04192731161744302,1
2023-09-01,0.040248464752382467,1
2023-09-02,0.04150340091555787,1
2023-09-03,0.039339530812672614,1
2023-09-04,0.044858448540248924,1
2023-09-05,0.039560302604538175,1
2023-09-06,0.03943825911071881,1
2023-09-07,0.046387160597479965,1
2023-09-08,0.0467982209578262,1
2023-09-09,0.04676084592650627,1
2023-09-10,0.043071525111389786,1
2023-09-11,0.04705994611426159,1
2023-09-12,0.04525453981805019,1
2023-09-13,0.045528785260386194,1
2023-09-14,0.04320006157281458,1
2023-09-15,0.04895255458200535,1
2023-09-16,0.07786914129620803,1
2023-09-17,0.0834993463221711,1
2023-09-18,0.06997372929581595,1
2023-09-19,0.0724172708703482,1
2023-09-20,0.07142175828857658,1
2023-09-21,0.07321015291391447,1
2023-09-22,0.07149063132393262,1
2023-09-23,0.07249346052940545,1
2023-09-24,0.0683741081472129,1
2023-09-25,0.06867528525254792,1
2023-09-26,0.06746668243815673,1
2023-09-27,0.06943081929863058,1
2023-09-28,0.06799215275171691,1
2023-09-29,0.06389652169153018,1
2023-09-30,0.05004054851628939,1
2023-10-01,0.03804826367187925,1
2023-10-02,0.02974180950211505,1
2023-10-03,0.02982991233625397,1
2023-10-04,0.025121769669123405,1
2023-10-05,0.02112981488317232,1
2023-10-06,0.022381449909068363,1
2023-10-07,0.02189102014751928,1
2023-10-08,0.021569557289372075,1
2023-10-09,0.024208564968246124,1
2023-10-10,0.027577775416330892,1
2023-10-11,0.02339721349354564,1
2023-10-12,0.02417703203966927,1
2023-10-13,0.02370769476998975,1
2023-10-14,0.023459315154212717,1
2023-10-15,0.023938000692451295,1
2023-10-16,0.025384623945700624,1
2023-10-17,0.02657899965020531,1
2023-10-18,0.026163354807099845,1
2023-10-19,0.027395774090538918,1
2023-10-20,0.029570911521683983,1
2023-10-21,0.03151853648472521,1
2023-10-22,0.031792896928363734,1
2023-10-23,0.03168780860419355,1
2023-10-24,0.03307315785774353,1
2023-10-25,0.04059463515721516,1
2023-10-26,0.0403941908382855,1
2023-10-27,0.03889543726010144,1
2023-10-28,0.03756165110076121,1
2023-10-29,0.03743305755017665,1
2023-10-30,0.03737930350131995,1
2023-10-31,0.04772249314864154,1
2023-11-01,0.08307448031187097,1
2023-11-02,0.0763419569816003,1
2023-11-03,0.07898480707100276,1
2023-11-04,0.08064883147566398,1
2023-11-05,0.07978443034524337,1
2023-11-06,0.08351823024166273,1
2023-11-07,0.08326227270500032,1
2023-11-08,0.07947867760376445,3
2023-11-09,0.07634626066026692,3
2023-11-10,0.07395318640227691,3
2023-11-11,0.06950241942268705,3
2023-11-12,0.06721748414210313,3
2023-11-13,0.07553017671871191,3
2023-11-14,0.05927217603865915,3
2023-11-15,0.048164791183706354,3
2023-11-16,0.037084231044652985,3
2023-11-17,0.04017410899358113,3
2023-11-18,0.04042052561540552,3
2023-11-19,0.040855386250165236,3
2023-11-20,0.03802871955263484,3
2023-11-21,0.03794854651735739,3
2023-11-22,0.03674952256937061,3
2023-11-23,0.03596349431648115,3
2023-11-24,0.032103142502223854,3
2023-11-25,0.0325107529249066,3
2023-11-26,0.033052480702360415,3
2023-11-27,0.03318763106280607,3
2023-11-28,0.03327971321715428,3
2023-11-29,0.03350345423906386,3
2023-11-30,0.032423559481511016,3
