Date,BTC-USD,ETH-USD,BNB-USD,XRP-USD,SOL-USD,ADA-USD,DOT-USD,SHIB-USD,LTC-USD,AVAX-USD
2023-05-31,27219.658203125,1874.1304931640625,306.86669921875,0.5173860192298889,20.82450294494629,0.3744029998779297,5.317827224731445,9.000000318337698e-06,90.53900909423828,14.119641304016113
2023-06-01,26819.97265625,1862.201416015625,304.9532775878906,0.5073170065879822,20.50221824645996,0.3647240102291107,5.210669994354248,7.999999979801942e-06,93.97233581542969,14.10698413848877
2023-06-02,27249.58984375,1907.256591796875,307.4237976074219,0.5253869891166687,21.25759506225586,0.37830400466918945,5.2798848152160645,9.000000318337698e-06,95.4177474975586,14.490138053894043
2023-06-03,27075.12890625,1892.4124755859375,306.7201232910156,0.5193510055541992,21.15556526184082,0.37602800130844116,5.330341815948486,9.000000318337698e-06,95.99313354492188,14.574328422546387
2023-06-04,27119.06640625,1890.5135498046875,305.15679931640625,0.5359110236167908,21.8189754486084,0.3776929974555969,5.319441795349121,9.000000318337698e-06,94.2899169921875,14.782492637634277
2023-06-05,25760.09765625,1811.828369140625,276.8892517089844,0.5103939771652222,20.07505989074707,0.3520149886608124,5.073203086853027,7.999999979801942e-06,87.83460235595703,13.897244453430176
2023-06-06,27238.783203125,1884.494873046875,281.4955749511719,0.5304639935493469,20.398483276367188,0.3537150025367737,5.208306789398193,7.999999979801942e-06,90.92071533203125,14.631876945495605
2023-06-07,26345.998046875,1832.39599609375,259.3914489746094,0.5196279883384705,18.6342830657959,0.3222779929637909,5.022200107574463,7.999999979801942e-06,88.848388671875,14.032129287719727
2023-06-08,26508.216796875,1846.3018798828125,262.14849853515625,0.5245460271835327,18.909475326538086,0.32315701246261597,5.02603816986084,7.999999979801942e-06,88.46656036376953,13.931173324584961
2023-06-09,26480.375,1840.2252197265625,260.7160949707031,0.5379170179367065,17.37969970703125,0.295401006937027,4.982104778289795,7.999999979801942e-06,89.2320327758789,13.767868041992188
2023-06-10,25851.240234375,1752.384765625,239.08908081054688,0.5081989765167236,15.65610122680664,0.2761940062046051,4.526294231414795,7.000000096013537e-06,77.3517074584961,11.680257797241211
2023-06-11,25940.16796875,1753.415283203125,235.4387969970703,0.5212209820747375,15.558775901794434,0.2726300060749054,4.521618843078613,7.000000096013537e-06,77.69893646240234,11.575257301330566
2023-06-12,25902.5,1742.5286865234375,231.0514373779297,0.52572101354599,15.196707725524902,0.27504798769950867,4.532445907592773,7.000000096013537e-06,77.548095703125,11.520296096801758
2023-06-13,25918.728515625,1739.03759765625,243.89053344726562,0.5200859904289246,15.018193244934082,0.27498599886894226,4.622073173522949,7.000000096013537e-06,77.4438247680664,11.787354469299316
2023-06-14,25124.67578125,1650.519287109375,237.5742645263672,0.4802199900150299,14.486572265625,0.2632260024547577,4.569849967956543,7.000000096013537e-06,73.16329193115234,11.366084098815918
2023-06-15,25576.39453125,1665.519775390625,236.2806854248047,0.4801180064678192,14.759472846984863,0.26195698976516724,4.37718391418457,7.000000096013537e-06,74.52643585205078,11.40145206451416
2023-06-16,26327.462890625,1716.6688232421875,239.1146697998047,0.47574299573898315,15.30825424194336,0.2631849944591522,4.416847229003906,7.000000096013537e-06,76.04912567138672,11.541641235351562
2023-06-17,26510.67578125,1727.2041015625,244.61058044433594,0.47979000210762024,15.650521278381348,0.2669279873371124,4.5261311531066895,7.000000096013537e-06,76.91241455078125,11.625213623046875
2023-06-18,26336.212890625,1720.5775146484375,244.08726501464844,0.4875729978084564,15.43823528289795,0.26096299290657043,4.530962944030762,7.000000096013537e-06,77.17825317382812,11.342635154724121
2023-06-19,26851.029296875,1737.659423828125,242.9033660888672,0.49339500069618225,16.073041915893555,0.263047993183136,4.522421836853027,7.000000096013537e-06,77.42202758789062,11.454609870910645
2023-06-20,28327.48828125,1792.1199951171875,247.6744384765625,0.4928700029850006,16.635231018066406,0.27032899856567383,4.668923854827881,7.000000096013537e-06,80.30889892578125,12.106450080871582
2023-06-21,30027.296875,1891.0072021484375,249.28634643554688,0.500694990158081,17.25704574584961,0.28700000047683716,4.829425811767578,7.999999979801942e-06,85.14774322509766,12.917662620544434
2023-06-22,29912.28125,1872.9429931640625,240.7924346923828,0.4949750006198883,16.642620086669922,0.2903130054473877,4.830627918243408,7.999999979801942e-06,86.07022094726562,12.667882919311523
2023-06-23,30695.46875,1892.862060546875,244.56494140625,0.4965659976005554,17.149534225463867,0.29648199677467346,5.100214958190918,7.999999979801942e-06,91.20945739746094,13.281949996948242
2023-06-24,30548.6953125,1876.0596923828125,236.65965270996094,0.48731300234794617,16.652862548828125,0.290012001991272,5.007446765899658,7.999999979801942e-06,89.74402618408203,13.024869918823242
2023-06-25,30480.26171875,1900.506103515625,238.8929901123047,0.4902769923210144,16.97138023376465,0.2923249900341034,5.194805145263672,7.999999979801942e-06,88.2751693725586,13.442519187927246
2023-06-26,30271.130859375,1859.432861328125,236.13426208496094,0.47933200001716614,16.27002716064453,0.28035399317741394,5.026731014251709,7.999999979801942e-06,87.27570343017578,13.152833938598633
2023-06-27,30688.1640625,1889.703369140625,237.49267578125,0.4838399887084961,16.61964988708496,0.28652000427246094,5.0958638191223145,7.999999979801942e-06,87.99827575683594,13.205107688903809
2023-06-28,30086.24609375,1827.97119140625,230.65036010742188,0.46522200107574463,15.98684310913086,0.2671689987182617,4.883011817932129,7.000000096013537e-06,83.06114959716797,12.355886459350586
